timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
27864000,39.8714137,32.7364368,36.15266,301.77725,-67.155,19.512262,0.7510692,-4.742177,0.14120014,-5.256035,-0.5277851,67.31067
27960000,39.8714137,32.7364368,38.02823,301.8189,-67.61424,19.514019,0.27015916,-4.7919993,-0.06977631,-4.641595,-0.50818825,67.76991
28064000,39.8714137,32.7364368,40.058563,301.81546,-68.11729,19.499432,-0.18861857,-4.849142,-0.18006283,-4.046777,-0.46955234,68.27296
28160000,39.8714137,32.7364368,41.927418,301.7685,-68.5851,19.473093,-0.56543714,-4.9025693,-0.23526837,-3.527898,-0.6146235,68.74077
28264000,39.8714137,32.7364368,43.94868,301.68057,-69.098076,19.436506,-0.918795,-4.96245,-0.36637646,-3.1030195,-0.5226889,69.253746
28360000,39.8714137,32.7364368,45.813198,301.56335,-69.57524,19.397572,-1.2021725,-5.0157447,-0.32818875,-2.6513095,-0.60424113,69.73091
28464000,39.8714137,32.7364368,47.828445,301.41022,-70.09775,19.350498,-1.4594865,-5.0756536,-0.52313524,-2.2198575,-0.59413904,70.25342
28560000,39.8714137,32.7364368,49.68398,301.24155,-70.58313,19.30425,-1.6597521,-5.1295915,-0.47798917,-1.7295681,-0.59979033,70.7388
28664000,39.8714137,32.7364368,51.68862,301.04202,-71.116554,19.253313,-1.8294979,-5.1906524,-0.442459,-1.2739328,-0.63674337,71.272224
28760000,39.8714137,32.7364368,53.53228,300.8375,-71.612946,19.203823,-1.9572022,-5.2428837,-0.35316285,-1.0752493,-0.57708937,71.768616
28863999,39.8714137,32.7364368,55.524334,300.60715,-72.15832,19.154793,-2.0607595,-5.2990637,-0.47262,-0.7317128,-0.52753335,72.31399
28967999,39.8714137,32.7364368,57.506252,300.36346,-72.7097,19.102772,-2.132477,-5.354626,-0.42841515,-0.32678664,-0.50202453,72.86537
29072000,39.8714137,32.7364368,59.48312,300.11728,-73.26654,19.05388,-2.1688466,-5.4041214,-0.3358655,-0.09017049,-0.47142845,73.42221
