timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
208012000,0,4000000.0,1.0,0.0,16.250994,0.0,0,0,0,0,0,2,0,0,0,1,44
209012000,0,4000000.0,1.0,0.0,16.35458,0.0,0,0,0,0,0,2,0,0,0,1,44
210012000,0,4000000.0,1.0,0.0,16.366533,0.0,0,0,0,0,0,2,0,0,0,1,44
211012000,0,4000000.0,1.0,0.0,16.426294,0.0,0,0,0,0,0,2,0,0,0,1,44
212012000,0,4000000.0,1.0,0.0,16.473106,0.0,0,0,0,0,0,2,0,0,0,1,44
213012000,0,4000000.0,1.0,0.0,16.35458,0.0,0,0,0,0,0,2,0,0,0,1,44
214012000,0,4000000.0,1.0,0.0,16.330675,0.0,0,0,0,0,0,2,0,0,0,1,44
215012000,0,4000000.0,1.0,0.0,16.694221,0.0,0,0,0,0,0,2,0,0,0,1,44
216012000,0,4000000.0,1.0,0.0,16.296812,0.0,0,0,0,0,0,2,0,0,0,1,44
217012000,0,4000000.0,1.0,0.0,16.430277,0.0,0,0,0,0,0,2,0,0,0,1,44
218012000,0,4000000.0,1.0,0.0,16.260954,0.0,0,0,0,0,0,2,0,0,0,1,44
219012000,0,4000000.0,1.0,0.0,16.390436,0.0,0,0,0,0,0,2,0,0,0,1,44
220012000,0,4000000.0,1.0,0.0,16.328684,0.0,0,0,0,0,0,2,0,0,0,1,44
221012000,0,4000000.0,1.0,0.0,16.390436,0.0,0,0,0,0,0,2,0,0,0,1,44
222012000,0,4000000.0,1.0,0.0,16.326693,0.0,0,0,0,0,0,2,0,0,0,1,44
223012000,0,4000000.0,1.0,0.0,16.36454,0.0,0,0,0,0,0,2,0,0,0,1,44
224012000,0,4000000.0,1.0,0.0,16.250994,0.0,0,0,0,0,0,2,0,0,0,1,44
225012000,0,4000000.0,1.0,0.0,16.470118,0.0,0,0,0,0,0,2,0,0,0,1,44
226012000,0,4000000.0,1.0,0.0,16.286852,0.0,0,0,0,0,0,2,0,0,0,1,44
